2020-2021-spring-000,2020-2021,spring,"Introductory, miscellaneous", ,cs1U,Practical Unix, ,Zelenski
2020-2021-spring-001,2020-2021,spring,Numerical Analysis, ,cs31N,Counterfactuals: The Science of What Ifs, ,Brunskill
2020-2021-spring-002,2020-2021,spring,Software Systems, ,cs41,Hap.py Code: The Python Programming Language,https://stanfordpython.com/,Cain/Cooper
2020-2021-spring-003,2020-2021,spring,Mathematical Foundations of Computing, ,cs52,CS+Social Good: Implementing Social Good Projects,http://cs52.stanford.edu/,Cain
2020-2021-spring-004,2020-2021,spring,"Introductory, miscellaneous", ,cs100A,Problem-solving Lab for CS 106A, ,Parlante
2020-2021-spring-005,2020-2021,spring,"Introductory, miscellaneous", ,cs100B,Problem-solving Lab for CS 106B, ,Gregg
2020-2021-spring-006,2020-2021,spring,"Introductory, miscellaneous", ,cs103,Mathematical Foundations of Computing,http://web.stanford.edu/class/cs103/,Lee
2020-2021-spring-007,2020-2021,spring,"Introductory, miscellaneous", ,cs105,Introduction to Computers,http://web.stanford.edu/class/cs105/,Young
2020-2021-spring-008,2020-2021,spring,"Introductory, miscellaneous", ,cs106A,Programming Methodology,https://web.stanford.edu/class/cs106a/,Parlante
2020-2021-spring-009,2020-2021,spring,"Introductory, miscellaneous", ,cs106B,Programming Abstractions,https://web.stanford.edu/class/cs106b/,Gregg
2020-2021-spring-010,2020-2021,spring,"Introductory, miscellaneous", ,cs106E,Exploration of Computing,https://web.stanford.edu/class/cs106e/,Young
2020-2021-spring-011,2020-2021,spring,"Introductory, miscellaneous", ,cs106L,Standard C++ Programming Laboratory,http://web.stanford.edu/class/cs106l/,Zelenski
2020-2021-spring-012,2020-2021,spring,"Introductory, miscellaneous", ,cs106S,Coding for Social Good,http://web.stanford.edu/class/cs106s/,Cain
2020-2021-spring-013,2020-2021,spring,"Introductory, miscellaneous", ,cs107,Computer Organization and Systems,http://web.stanford.edu/class/cs107/,Troccoli
2020-2021-spring-014,2020-2021,spring,"Introductory, miscellaneous", ,cs107A,Problem-solving Lab for CS 107,https://web.stanford.edu/class/cs107a/,Troccoli
2020-2021-spring-015,2020-2021,spring,"Introductory, miscellaneous", ,cs109,Intro to Probability for Computer Scientists,http://web.stanford.edu/class/cs109/,Cain
2020-2021-spring-016,2020-2021,spring,"Introductory, miscellaneous", ,cs109A,Problem Solving Lab for 109,https://web.stanford.edu/class/cs109a/,Cain
2020-2021-spring-017,2020-2021,spring,Hardware Systems, ,cs110,Principles of Computer Systems,http://web.stanford.edu/class/cs110/,Cain/Cyrus
2020-2021-spring-018,2020-2021,spring,Hardware Systems, ,cs110A,Problem Solving Lab for CS110, ,Cain/Cyrus
2020-2021-spring-019,2020-2021,spring,Hardware Systems, ,cs110L,Safety in Systems Programming,https://web.stanford.edu/class/cs110l/,Cain/Eberhardt
2020-2021-spring-020,2020-2021,spring,Hardware Systems, ,cs111,Operating Systems Principles,https://web.stanford.edu/class/cs111/spring22/index.html,Mazieres/Ouste
