2020-2021-summer-000,2020-2021,summer,"Introductory, miscellaneous", ,cs103,Mathematical Foundations of Computing,http://web.stanford.edu/class/cs103/,Fang/Cheng
2020-2021-summer-001,2020-2021,summer,"Introductory, miscellaneous", ,cs106A,Programming Methodology,https://web.stanford.edu/class/cs106a/,Gregg
2020-2021-summer-002,2020-2021,summer,"Introductory, miscellaneous", ,cs106B,Programming Abstractions,https://web.stanford.edu/class/cs106b/,Jue/Bowman
2020-2021-summer-003,2020-2021,summer,"Introductory, miscellaneous", ,cs107,Computer Organization and Systems,http://web.stanford.edu/class/cs107/,Benson
2020-2021-summer-004,2020-2021,summer,"Introductory, miscellaneous", ,cs109,Intro to Probability for Computer Scientists,http://web.stanford.edu/class/cs109/,Tsun/Gianitsos
2020-2021-summer-005,2020-2021,summer,Hardware Systems, ,cs110,Principles of Computer Systems,http://web.stanford.edu/class/cs110/,Eberhardt
2020-2021-summer-006,2020-2021,summer,Analysis of Algorithms, ,cs161,Design and Analysis of Algorithms,https://stanford-cs161.github.io/summer2022/,Shi
2020-2021-summer-007,2020-2021,summer,Independent Study and Practicum, ,cs191,Senior Project,http://cs191.stanford.edu/,(none listed)
2020-2021-summer-008,2020-2021,summer,Independent Study and Practicum, ,cs192,Programming Service Project,http://cs192.stanford.edu/,(none listed)
2020-2021-summer-009,2020-2021,summer,Independent Study and Practicum, ,cs195,Supervised Undergraduate Research, ,(none listed)
2020-2021-summer-010,2020-2021,summer,Independent Study and Practicum, ,cs199,Independent Work,http://cs199.stanford.edu/,(none listed)
2020-2021-summer-011,2020-2021,summer,Independent Study and Practicum, ,cs199P,Independent Work,http://cs199p.stanford.edu/,(none listed)
2020-2021-summer-012,2020-2021,summer,Independent Study and Practicum, ,cs390A,Curricular Practical Training,http://cs390a.stanford.edu/,(none listed)
2020-2021-summer-013,2020-2021,summer,Independent Study and Practicum, ,cs390B,Curricular Practical Training,http://cs390b.stanford.edu/,(none listed)
2020-2021-summer-014,2020-2021,summer,Independent Study and Practicum, ,cs390C,Curricular Practical Training,http://cs390c.stanford.edu/,(none listed)
2020-2021-summer-015,2020-2021,summer,Independent Study and Practicum, ,cs390D,Part-time Curricular Practical Training, ,(none listed)
2020-2021-summer-016,2020-2021,summer,Independent Study and Practicum, ,cs393,Computer Laboratory, ,(none listed)
2020-2021-summer-017,2020-2021,summer,Independent Study and Practicum, ,cs395,Independent Database Project,http://cs395.stanford.edu/,(none listed)
2020-2021-summer-018,2020-2021,summer,Independent Study and Practicum, ,cs399,Independent Project,http://cs399.stanford.edu/,(none listed)
2020-2021-summer-019,2020-2021,summer,Independent Study and Practicum, ,cs399P,Independent Project,http://cs399p.stanford.edu/,(none listed)
2020-2021-summer-020,2020-2021,summer,Independent Study and Practicum, ,cs499,Advanced Reading and Research,http://cs499.stanford.edu/,(none listed)
2020-2021-summer-021,2020-2021,summer,Independent Study and Practicum, ,cs499P,Advanced Reading and Research, ,(none listed)
2020-2021-summer-022,2020-2021,summer,"Introductory, miscellaneous", ,cs802,TGR Dissertation,http://cs802.stanford.edu/,(none listed)
