2020-2021-winter-000,2020-2021,winter,"Introductory, miscellaneous", ,cs1U,Practical Unix, ,Zelenski
2020-2021-winter-001,2020-2021,winter,Software Systems, ,cs47,Cross-platform Mobile App Development,https://web.stanford.edu/class/cs47/,Landay
2020-2021-winter-002,2020-2021,winter,Mathematical Foundations of Computing, ,cs51,CS + Social Good Studio,http://web.stanford.edu/class/cs51/,Cain
2020-2021-winter-003,2020-2021,winter,"Introductory, miscellaneous", ,cs100A,Problem-solving Lab for CS 106A, ,Parlante
2020-2021-winter-004,2020-2021,winter,"Introductory, miscellaneous", ,cs100B,Problem-solving Lab for CS 106B, ,Schwarz
2020-2021-winter-005,2020-2021,winter,"Introductory, miscellaneous", ,cs103,Mathematical Foundations of Computing,http://web.stanford.edu/class/cs103/,Lee
2020-2021-winter-006,2020-2021,winter,"Introductory, miscellaneous", ,cs106A,Programming Methodology,https://web.stanford.edu/class/cs106a/,Parlante
2020-2021-winter-007,2020-2021,winter,"Introductory, miscellaneous", ,cs106B,Programming Abstractions,https://web.stanford.edu/class/cs106b/,Schwarz
2020-2021-winter-008,2020-2021,winter,"Introductory, miscellaneous", ,cs106L,Standard C++ Programming Laboratory,http://web.stanford.edu/class/cs106l/,Schwarz
2020-2021-winter-009,2020-2021,winter,"Introductory, miscellaneous", ,cs106S,Coding for Social Good,http://web.stanford.edu/class/cs106s/,Cain
2020-2021-winter-010,2020-2021,winter,"Introductory, miscellaneous", ,cs107,Computer Organization and Systems,http://web.stanford.edu/class/cs107/,Yan
2020-2021-winter-011,2020-2021,winter,"Introductory, miscellaneous", ,cs107A,Problem-solving Lab for CS 107,https://web.stanford.edu/class/cs107a/,Yan
2020-2021-winter-012,2020-2021,winter,"Introductory, miscellaneous", ,cs107E,Computer Systems from the Ground Up,http://web.stanford.edu/class/cs107e/,Hanrahan/Zelen
2020-2021-winter-013,2020-2021,winter,"Introductory, miscellaneous", ,cs108,Object-Oriented Systems Design,http://web.stanford.edu/class/cs108/,Young
2020-2021-winter-014,2020-2021,winter,"Introductory, miscellaneous", ,cs109,Intro to Probability for Computer Scientists,http://web.stanford.edu/class/cs109/,Piech/Cain
2020-2021-winter-015,2020-2021,winter,"Introductory, miscellaneous", ,cs109A,Problem Solving Lab for 109,https://web.stanford.edu/class/cs109a/,Piech/Cain
